,Z_Rejon,POI,Do_Rejon,Czas_PrT_x,Czas_PuT_x,Czas_PrT_y,Czas_PuT_y
7100,8.0,13.0,21.0,82.37483343189075,91.73311258384771,81.78143546228026,92.14011258384771
7101,8.0,13.0,22.0,82.37483343189075,91.73311258384771,79.70151144894761,87.8701125838477
7102,8.0,13.0,23.0,82.37483343189075,91.73311258384771,79.611857072319,87.32111258384771
7103,8.0,13.0,24.0,82.37483343189075,91.73311258384771,79.1331250700565,86.84411258384772
7104,9.0,13.0,1.0,82.99168601209881,91.1721125838477,80.48905595580364,89.45711258384772
7105,9.0,13.0,2.0,82.99168601209881,91.1721125838477,80.05546140426011,88.31511258384771
7106,9.0,13.0,3.0,82.99168601209881,91.1721125838477,79.63230520365514,87.34111258384772
7107,9.0,13.0,4.0,82.99168601209881,91.1721125838477,79.79717157895325,87.50511258384772
7108,9.0,13.0,5.0,82.99168601209881,91.1721125838477,81.65554720728056,91.45411258384772
7109,9.0,13.0,6.0,82.99168601209881,91.1721125838477,79.95825718437133,87.66911258384772
7110,9.0,13.0,7.0,82.99168601209881,91.1721125838477,82.39488086026343,91.15611258384772
7111,9.0,13.0,8.0,82.99168601209881,91.1721125838477,82.37483343189075,91.53411258384772
7112,9.0,13.0,9.0,82.99168601209881,91.1721125838477,82.81282269623665,91.04811258384771
7113,9.0,13.0,10.0,82.99168601209881,91.1721125838477,81.24666007511604,89.5561125838477
7114,9.0,13.0,11.0,82.99168601209881,91.1721125838477,82.82015506269279,90.88011258384772
7115,9.0,13.0,12.0,82.99168601209881,91.1721125838477,82.48166685571556,91.40911258384772
7116,9.0,13.0,13.0,82.99168601209881,91.1721125838477,82.05604708619197,90.13611258384772
7117,9.0,13.0,14.0,82.99168601209881,91.1721125838477,82.10372513551035,90.12511258384771
7118,9.0,13.0,15.0,82.99168601209881,91.1721125838477,81.0848666621005,89.58611258384771
7119,9.0,13.0,16.0,82.99168601209881,91.1721125838477,81.08667055182009,88.79511258384774
7120,9.0,13.0,17.0,82.99168601209881,91.1721125838477,81.89244170960009,89.9251125838477
7121,9.0,13.0,18.0,82.99168601209881,91.1721125838477,81.22296885151775,89.2361125838477
7122,9.0,13.0,19.0,82.99168601209881,91.1721125838477,81.20582150379825,89.05411258384773
7123,9.0,13.0,20.0,82.99168601209881,91.1721125838477,84.13249140357074,86.37111258384772
7124,9.0,13.0,21.0,82.99168601209881,91.1721125838477,81.78143546228026,92.14011258384771
7125,9.0,13.0,22.0,82.99168601209881,91.1721125838477,79.70151144894761,87.8701125838477
7126,9.0,13.0,23.0,82.99168601209881,91.1721125838477,79.611857072319,87.32111258384771
7127,9.0,13.0,24.0,82.99168601209881,91.1721125838477,79.1331250700565,86.84411258384772
7128,10.0,13.0,1.0,81.43980285715546,89.62711258384772,80.48905595580364,89.45711258384772
7129,10.0,13.0,2.0,81.43980285715546,89.62711258384772,80.05546140426011,88.31511258384771
7130,10.0,13.0,3.0,81.43980285715546,89.62711258384772,79.63230520365514,87.34111258384772
7131,10.0,13.0,4.0,81.43980285715546,89.62711258384772,79.79717157895325,87.50511258384772
7132,10.0,13.0,5.0,81.43980285715546,89.62711258384772,81.65554720728056,91.45411258384772
7133,10.0,13.0,6.0,81.43980285715546,89.62711258384772,79.95825718437133,87.66911258384772
7134,10.0,13.0,7.0,81.43980285715546,89.62711258384772,82.39488086026343,91.15611258384772
7135,10.0,13.0,8.0,81.43980285715546,89.62711258384772,82.37483343189075,91.53411258384772
7136,10.0,13.0,9.0,81.43980285715546,89.62711258384772,82.81282269623665,91.04811258384771
7137,10.0,13.0,10.0,81.43980285715546,89.62711258384772,81.24666007511604,89.5561125838477
7138,10.0,13.0,11.0,81.43980285715546,89.62711258384772,82.82015506269279,90.88011258384772
7139,10.0,13.0,12.0,81.43980285715546,89.62711258384772,82.48166685571556,91.40911258384772
