i,A_i_C_PT_mean,A_i_C_PT_min,A_i_C_PT_max,A_i_C_PT_std,A_i_C_PT_median,A_i_C_PT_p_25,A_i_C_PT_p_75
534,35.425808,20.043732,70.06816,8.996139,34.949306,28.70094,40.458176
536,32.044632,20.146866,67.3739,8.194142,32.20105,26.318157,34.346527
538,28.052868,20.056244,80.1957,8.95331,25.143562,22.925095,29.615248
539,29.403042,20.01548,74.51532,8.510833,28.107948,24.505577,30.198498
540,35.67087,20.000488,77.17148,9.340187,34.845398,28.287807,42.453014
542,30.045273,20.005058,82.57,8.948365,27.485699,23.270569,35.36805
543,28.452505,20.066414,80.54334,9.808751,25.266693,21.901154,31.185757
544,31.47364,20.00106,81.2244,8.061734,30.29017,24.762619,37.00962
545,28.479376,20.06311,80.863014,10.047934,25.76717,22.73391,30.0918
546,27.658627,20.076683,78.27367,8.840275,24.713074,22.623983,28.93452
547,30.907879,20.024765,77.538666,8.571549,28.940811,25.305395,33.363235
548,28.139168,20.471176,62.129898,8.55856,25.204765,24.064072,28.352448
549,29.610588,20.201904,74.96644,8.39568,26.9496,25.538902,30.485579
550,33.76534,20.004318,79.18238,9.124593,32.13486,26.411251,40.206482
551,33.616398,20.002663,77.73309,9.180328,31.796717,26.437176,39.607433
553,35.547222,20.031868,76.253586,15.104458,29.379654,23.798637,46.68714
554,37.91057,20.00483,85.94371,13.776804,33.50948,27.373438,47.77916
555,35.78244,20.001831,81.84022,14.51976,29.62291,24.693256,44.8344
557,37.66261,20.008194,85.99105,13.447105,33.992725,26.917564,47.03293
558,36.43819,20.009438,85.366714,15.074141,30.709978,24.035536,47.440994
560,37.333992,20.000679,84.09192,13.434595,33.55094,26.498682,46.99345
563,34.307518,20.048737,87.36224,15.260599,26.81973,22.805695,44.591072
566,37.01379,20.25795,82.99202,15.232955,31.837368,24.171204,47.437637
567,36.83639,20.017021,84.6346,15.011984,32.75524,24.073967,46.05066
568,38.651985,20.024544,85.28195,15.711891,34.307995,24.600235,47.586002
569,38.129486,20.07975,84.52102,16.228537,33.853542,24.26323,47.936195
570,40.432953,20.345879,79.34409,16.7076,35.882256,25.50347,49.11329
571,39.662178,20.03527,83.87509,15.927402,35.815636,25.663116,48.523174
572,36.836193,20.054634,84.888435,14.956323,32.096157,24.28421,46.37793
573,39.74641,20.545464,78.74728,15.233696,37.704178,27.587542,47.82796
574,39.350254,20.064163,83.259315,15.616657,35.57721,25.889225,47.805912
575,37.22117,20.03926,85.74698,14.580022,34.315037,24.687035,45.255054
576,39.82524,20.049492,88.00311,15.367361,39.23023,26.729876,47.22132
577,37.57371,20.028,87.172485,14.908829,33.81576,24.529728,45.961956
578,38.074852,20.02333,85.28203,14.779661,36.020634,25.35366,45.931194
579,38.973778,20.076393,85.32514,14.802575,37.482143,25.965813,46.305782
580,40.558514,20.157143,86.04343,15.151674,39.917953,27.616112,47.779617
581,37.092205,20.063377,85.55755,13.025371,35.883434,26.271952,44.188572
582,39.2058,20.121109,85.270454,14.826337,38.34206,26.444458,46.40613
583,39.417145,20.167694,80.1729,14.6209755,38.99284,26.927162,46.810173
585,39.445236,20.068512,77.59825,14.604319,39.11187,26.739311,47.83274
586,39.673054,20.255127,78.833145,14.697675,39.00561,27.107159,47.31767
587,36.628925,20.010124,82.520195,12.268759,35.442,26.961731,42.236767
588,37.417843,20.110878,80.3605,13.798019,35.408436,26.052467,44.003822
589,38.600044,20.020645,79.05506,14.039163,36.297203,27.596619,44.74303
591,37.030937,20.055298,79.93154,13.072932,35.23068,26.385021,43.63385
592,38.23289,20.14695,79.08056,13.73593,36.271484,26.958138,45.134693
593,39.40965,20.486443,79.14416,14.333385,34.32393,30.46656,43.16033
594,37.014645,20.034492,78.78075,12.3717,34.67453,28.002907,43.331497
603,35.36945,20.085121,76.277885,14.760013,30.459301,21.64138,46.107246
605,37.86271,20.036957,71.23999,13.396191,34.501507,26.777641,46.9734
607,35.431236,20.060707,62.61041,11.242112,34.27378,25.691374,43.011684
609,32.42615,20.117233,58.53704,11.955023,28.860516,22.2019,40.048035
610,36.879955,20.024384,84.66248,13.343353,34.970924,25.293068,44.80845
611,39.59061,20.170311,80.46466,14.724377,39.6375,27.090775,46.860313
612,37.952625,20.003983,86.62878,15.946538,33.391098,23.90258,46.93996
613,38.05116,20.086533,86.33298,12.934514,32.79351,29.145206,48.277824
615,37.15627,20.082642,83.547005,12.535152,33.342667,27.27819,45.148624
617,36.83437,20.117119,77.10886,11.706667,34.669113,26.57535,45.626766
624,38.339176,20.14634,83.29493,12.936213,33.318172,28.590158,48.402626
625,40.203045,20.018913,88.795876,13.337343,37.359383,28.737194,51.036114
627,38.8978,20.147438,84.55454,13.707528,32.2383,30.827595,49.31928
630,39.633205,20.014427,85.47472,12.3332,38.19119,29.183777,49.174393
631,36.692963,20.096268,76.694916,12.51492,31.155693,27.220253,45.436115
632,39.92215,20.007492,84.92067,12.506439,38.954826,29.560883,49.306263
634,37.597256,20.176651,80.634254,12.7310295,33.97765,27.083439,46.438797
639,35.252472,20.165916,86.70098,14.620135,30.708925,24.141148,42.47758
