i,A_i_C_Car_mean,A_i_C_Car_min,A_i_C_Car_max,A_i_C_Car_std,A_i_C_Car_median,A_i_C_Car_p_25,A_i_C_Car_p_75
547,25.798473,20.034615,49.750023,4.8689103,24.643173,22.602295,27.65224
548,31.697765,31.697765,31.697765,,31.697765,31.697765,31.697765
549,31.123266,20.827682,51.71443,17.832474,20.827682,20.827682,36.271057
550,25.756609,20.001472,54.614433,5.4289804,24.226349,21.459194,28.128065
551,24.89413,20.003899,49.70226,4.3248377,23.88469,21.73951,26.58451
553,31.08799,20.15078,62.846313,10.452571,28.309631,21.777412,38.83333
554,31.278698,20.001846,74.042114,8.858976,28.917822,23.91134,37.2631
555,30.349825,20.036942,62.042114,9.332363,26.777412,23.2631,35.75744
557,30.290545,20.00991,69.042114,8.232907,28.60899,23.44777,35.2631
558,31.246342,20.028923,62.683655,9.354902,29.00084,22.86287,37.847557
560,31.246468,20.008781,73.042114,8.68645,29.131931,24.25042,36.83179
563,33.83908,20.09401,63.581486,10.278724,32.93977,24.473112,40.559135
566,33.148823,20.073975,58.683655,8.827778,32.261284,25.58506,39.668793
567,31.674042,20.064186,72.00311,9.348952,29.104832,24.649529,37.292065
568,30.750017,20.085014,73.00311,9.734085,28.223799,22.268402,38.175175
569,30.78557,20.018105,62.003113,10.155611,27.14309,22.312302,37.112766
570,31.667131,20.10067,56.003117,10.515563,29.274532,21.745552,38.843838
571,31.801926,20.015083,58.581486,9.73252,29.073853,23.777412,38.672203
572,32.654957,20.092667,67.59972,9.377968,30.613274,24.870583,39.164482
573,33.46017,20.62696,53.516735,8.829631,29.90113,26.471254,40.403816
574,32.74926,20.14309,61.581486,9.604399,30.7426,24.48359,38.882893
575,30.772001,20.015083,71.00311,8.9220915,28.833622,23.48359,37.003773
576,30.910536,20.015083,85.00311,10.481082,27.284306,22.2631,38.07303
577,31.269236,20.064186,72.00311,8.684817,29.695232,24.099386,37.07624
578,30.027786,20.019485,73.00311,9.418495,27.096096,21.777412,36.12248
579,30.635172,20.019485,73.00311,9.766588,28.037704,21.777412,37.03704
580,30.832684,20.123726,73.00311,10.071625,28.48359,21.777412,37.926105
581,30.011934,20.027435,69.37977,7.646093,28.178059,24.074833,33.476295
582,32.4388,20.045403,68.17181,8.494457,31.50922,25.157614,38.99278
583,30.626188,20.177345,56.581486,9.65197,28.406544,21.777412,37.210304
585,30.800709,20.182762,55.003117,9.559394,28.648228,21.777412,37.695496
586,31.789942,20.16307,50.003117,8.4348545,30.436287,24.271938,39.291992
587,30.327164,20.066193,71.00311,7.736495,29.391094,24.192902,35.241398
588,30.899632,20.066193,60.003113,8.705507,28.68975,23.61015,36.330177
589,31.796726,20.074081,60.003113,9.126047,29.675192,24.525564,38.226128
591,28.904583,20.021599,56.548443,7.124842,27.64365,23.269379,32.67324
592,31.780247,20.074081,60.003113,8.613144,30.050495,24.635992,37.516197
593,30.921251,20.357407,60.003113,9.353553,28.268421,23.742233,33.178154
594,29.0826,20.07685,56.720364,7.099467,28.115097,23.189934,32.565845
603,33.502235,20.40371,55.174793,9.461873,30.516735,28.066078,38.786053
605,31.371773,20.48359,52.174793,8.582955,30.494566,23.722252,35.225246
607,27.047024,20.118736,39.174793,5.400473,25.837036,22.07835,32.341457
609,23.17479,23.17479,23.17479,,23.17479,23.17479,23.17479
610,30.057074,20.02346,72.00311,8.056573,27.978413,24.157196,33.36619
611,31.617638,20.157501,50.244392,7.7948213,31.003757,24.513416,37.826637
612,31.470316,20.07434,61.160603,10.463195,28.047766,23.658115,35.65516
613,29.6579,20.069725,67.795876,9.758546,25.767288,23.71098,34.53556
615,31.796633,20.192421,68.795876,11.382958,28.304424,22.54748,37.40358
617,27.684217,20.008652,44.112545,6.584246,24.878471,22.577698,31.516735
624,30.525732,20.15969,67.795876,8.783797,27.943642,23.713509,35.94364
625,31.172989,20.003433,85.795876,8.330089,29.956085,24.958397,34.84525
627,32.4197,20.422256,55.518555,11.88004,28.358738,23.30366,38.336914
630,29.046114,20.000893,73.795876,7.478292,27.174282,23.669409,31.878475
631,33.473198,24.14505,50.112545,11.05305,28.260307,25.516739,39.331352
632,28.612194,20.089874,70.795876,7.45125,26.893896,22.89016,31.817295
634,36.027058,21.862297,54.112545,10.67207,32.601974,27.808435,43.78928
639,34.808113,20.01307,74.05672,12.699169,31.865753,26.68713,38.112778
640,32.67199,20.144562,68.09664,11.246658,30.29544,24.255457,37.847664
641,30.425955,20.0261,86.05672,10.833941,26.338829,22.634491,34.405235
642,37.968426,21.645752,69.36324,11.6318245,37.333458,28.691523,42.786583
644,29.480934,20.028923,61.351868,8.48844,26.970844,24.131115,32.34716
646,31.029871,20.828377,64.36324,9.409358,28.834911,24.819958,34.150845
647,30.647522,20.293404,66.36324,9.731092,28.998373,23.111992,35.12023
650,27.632885,20.117332,53.92716,6.6465163,26.264175,23.530872,29.610262
651,29.628397,20.010963,69.34173,9.921025,25.516518,22.484352,33.61361
652,33.042862,20.189537,73.36324,11.472977,29.81916,23.609741,39.20324
653,34.42918,20.040443,73.36324,12.161059,31.240286,24.028423,42.90253
654,37.893898,22.04676,73.36324,12.049324,35.240288,29.226444,42.990593
655,33.384186,20.198952,66.704124,9.104908,33.11733,26.580252,37.49347
656,35.95217,23.240837,64.36324,16.135551,27.056713,26.292223,42.209976
657,33.64877,20.117332,71.36324,10.592742,31.3364,26.213882,38.47049
658,35.750595,20.002884,85.36324,14.170706,30.544075,25.326271,41.53661
660,32.146267,22.84005,62.363243,10.108519,28.277725,26.352175,34.52813
661,33.321205,21.117332,64.81886,9.426217,31.515427,27.529892,36.818867
662,32.189762,20.55603,61.42296,9.512931,29.27288,24.825432,38.42296
663,36.584965,22.028404,49.363243,13.753911,38.363243,30.195824,43.863243
664,31.02975,20.432098,49.64757,8.009545,30.013226,23.18084,37.427296
665,33.90247,20.137794,65.42296,11.070337,30.83141,25.117332,40.42296
666,31.628948,20.0317,63.42296,11.641219,26.363243,22.242008,39.863243
