,Z_Rejon,Do_Rejon,L_Podrozy,Przez_POI,Czas_PrT,Czas_PuT
7058,10.0,15.0,10.291667691598859,18.0,144.48945058251496,642.7813875949629
7059,10.0,15.0,10.291667691598859,19.0,135.6893452655189,344.6363128370839
7060,10.0,15.0,10.291667691598859,20.0,173.09180381574333,1202.9060182921994
7061,10.0,15.0,10.291667691598859,21.0,223.73251217892647,667.9439732497282
7062,10.0,15.0,10.291667691598859,22.0,185.18000785610795,594.0076646563338
7063,10.0,15.0,10.291667691598859,23.0,234.60586940264497,1052.1612531736018
7064,10.0,15.0,10.291667691598859,24.0,353.7556973713048,1208.0386661318453
7065,10.0,15.0,10.291667691598859,25.0,210.8348960467004,1459.4331825867996
7066,10.0,15.0,10.291667691598859,26.0,179.02204417964336,976.3308897628275
7067,10.0,15.0,10.291667691598859,27.0,108.22296813751431,706.6684276761324
7068,10.0,15.0,10.291667691598859,28.0,250.22908779518164,411.3491158009373
7069,10.0,15.0,10.291667691598859,29.0,158.4967972150401,999999.0
7070,10.0,15.0,10.291667691598859,30.0,216.98888144827632,579.2562777951576
7071,10.0,15.0,10.291667691598859,31.0,159.59076026217616,831.3405305810879
7072,10.0,15.0,10.291667691598859,32.0,320.14114845453605,544.5694618464719
7073,10.0,16.0,0.00165422356996937,1.0,386.39448261906165,877.9232620998351
7074,10.0,16.0,0.00165422356996937,2.0,144.5014711055857,859.1016568986214
7075,10.0,16.0,0.00165422356996937,3.0,487.63396223163085,894.6229119647629
7076,10.0,16.0,0.00165422356996937,4.0,337.31311261533244,1060.7462909642977
7077,10.0,16.0,0.00165422356996937,5.0,255.6041414043006,808.1240158203346
7078,10.0,16.0,0.00165422356996937,6.0,780.5134964739652,1963.7044668059539
7079,10.0,16.0,0.00165422356996937,7.0,830.4765118649392,999999.0
7080,10.0,16.0,0.00165422356996937,8.0,254.76463364042763,906.2402152625228
7081,10.0,16.0,0.00165422356996937,9.0,127.71738497663823,533.5485968594247
