,Z_Rejon,POI,Czas_PrT,Czas_PuT
401,13.0,17.0,352.14612584584825,1887.119104734116
402,13.0,18.0,365.7297102184227,1669.5101937974814
403,13.0,19.0,283.5340717039025,1520.437656418542
404,13.0,20.0,225.87230704001698,1997.2415091460998
405,13.0,21.0,471.49001490459244,1071.000986624864
406,13.0,22.0,466.5942473132641,1973.960332328167
407,13.0,23.0,485.1304273962992,2058.5731265868008
408,13.0,24.0,542.1807151422246,2180.5463330659227
409,13.0,25.0,482.71089859388195,2587.2750912934
410,13.0,26.0,443.0213520862221,2265.2869448814135
411,13.0,27.0,394.5716083532517,2130.455713838066
412,13.0,28.0,424.60773005813377,1982.7960579004687
413,13.0,29.0,573.629006755036,999999.0
414,13.0,30.0,492.1221977002656,2206.197138897579
415,13.0,31.0,464.8110722282672,2652.109765290544
416,13.0,32.0,446.11523018184505,2508.724230923236
417,14.0,1.0,554.2415849688833,2256.8086310499175
418,14.0,2.0,257.54547914717375,1623.3588284493107
419,14.0,3.0,542.6514029174234,2783.0129559823813
420,14.0,4.0,525.7811966756949,2598.423645482149
421,14.0,5.0,364.6399642102688,1647.2775079101673
422,14.0,6.0,789.4256315137568,3567.982733402977
423,14.0,7.0,719.7355944873384,999999.0
424,14.0,8.0,347.287514073916,2011.2811076312614
425,14.0,9.0,401.18754090838854,1725.8007984297124
426,14.0,10.0,413.08209594665095,1905.9163099754464
427,14.0,11.0,425.10549296109696,2004.2027585098358
428,14.0,12.0,447.51003136633176,1976.2255730479887
429,14.0,13.0,369.79197285103896,1761.3711125838477
430,14.0,14.0,397.8276094706722,1706.703224668189
431,14.0,15.0,354.1841142939819,2004.223340744883
432,14.0,16.0,507.5132399205036,2194.7592826656264
433,14.0,17.0,375.07209700480684,1868.119104734116
434,14.0,18.0,266.1575417933776,1514.5101937974814
435,14.0,19.0,183.96190327885742,1365.437656418542
436,14.0,20.0,126.30013861497193,1663.2415091460998
437,14.0,21.0,535.7793179895709,2800.0009866248643
438,14.0,22.0,530.8835503982426,2367.9603323281667
439,14.0,23.0,385.5582589712541,2101.5731265868008
440,14.0,24.0,442.60854671717954,1846.5463330659227
441,14.0,25.0,383.1387301688369,2406.2750912934
442,14.0,26.0,343.449183661177,2084.2869448814135
443,14.0,27.0,294.9994399282066,1949.4557138380662
444,14.0,28.0,325.0355616330888,1801.7960579004687
445,14.0,29.0,474.056838329991,999999.0
446,14.0,30.0,515.0481688592242,2580.197138897579
447,14.0,31.0,487.7370433872258,2619.109765290544
448,14.0,32.0,469.04120134080364,2475.724230923236
449,15.0,1.0,238.25075446124634,731.8086310499175
450,15.0,2.0,359.20886927869435,1755.3588284493107
451,15.0,3.0,524.9675157247993,2879.0129559823813
452,15.0,4.0,320.07306477880627,1200.423645482149
453,15.0,5.0,450.14188454389574,1958.2775079101673
454,15.0,6.0,419.116327285548,1294.982733402977
455,15.0,7.0,545.2399829214862,999999.0
456,15.0,8.0,352.1070140671073,1417.2811076312614
457,15.0,9.0,234.4165667699903,1269.8007984297124
458,15.0,10.0,262.9743321062736,1449.9163099754464
459,15.0,11.0,327.7333942610981,663.2027585098357
460,15.0,12.0,303.0543171705119,635.2255730479889
461,15.0,13.0,228.98846779957728,1501.3711125838477
