,POI,Do_Rejon,Czas_PrT,Czas_PuT
167,83086.0,17.0,130.99043740963475,1237.1866237922984
168,83087.0,17.0,1595.8548328102513,2422.5215308063566
169,83088.0,17.0,331.6681846728018,678.5357051685293
170,83089.0,17.0,908.9508611782255,1704.4250043142445
171,83090.0,17.0,1167.6212270665405,2238.042285996632
172,83081.0,18.0,1298.2050125538508,1721.0850614585945
173,83082.0,18.0,119.55954187984476,3031.1229131622367
174,83083.0,18.0,1004.4566929940454,1934.0840376475314
175,83084.0,18.0,1278.0800415917909,2337.071473103764
176,83085.0,18.0,240.0908582463378,1367.6807067808065
177,83086.0,18.0,130.99043740963475,1024.1866237922984
178,83087.0,18.0,1524.1849745508714,1644.5215308063569
179,83088.0,18.0,312.9659253151751,858.5357051685293
180,83089.0,18.0,837.2810029188456,1178.4250043142445
181,83090.0,18.0,1090.4035008250225,2527.042285996632
182,83081.0,19.0,1088.515176812334,1721.0850614585945
183,83082.0,19.0,119.55954187984476,3031.1229131622367
184,83083.0,19.0,1057.4224408990203,2054.084037647531
185,83084.0,19.0,1212.6904932376249,2937.071473103764
186,83085.0,19.0,240.0908582463378,1367.6807067808065
187,83086.0,19.0,130.99043740963475,1024.1866237922984
188,83087.0,19.0,1314.495138809355,1644.5215308063569
189,83088.0,19.0,509.2428479323154,1381.5357051685291
190,83089.0,19.0,627.5911671773287,1119.4250043142445
191,83090.0,19.0,1345.1958903260547,1793.0422859966322
192,83081.0,20.0,1158.8336877103695,1721.0850614585945
193,83082.0,20.0,119.55954187984476,3031.1229131622367
194,83083.0,20.0,1130.3260500607644,1654.0840376475314
195,83084.0,20.0,1226.0539488018562,3117.071473103764
196,83085.0,20.0,240.0908582463378,1367.6807067808065
197,83086.0,20.0,130.99043740963475,1024.1866237922984
198,83087.0,20.0,1384.8136497073904,1644.5215308063569
199,83088.0,20.0,529.7910010532819,978.5357051685293
200,83089.0,20.0,697.9096780753644,1178.4250043142445
201,83090.0,20.0,1365.7440434470213,2647.042285996632
202,83081.0,21.0,1124.4798238465758,2273.0850614585947
203,83082.0,21.0,119.55954187984476,3046.1229131622367
204,83083.0,21.0,1071.7763396367816,1608.0840376475314
205,83084.0,21.0,1282.2889027822187,3117.071473103764
206,83085.0,21.0,240.0908582463378,1528.6807067808065
207,83086.0,21.0,130.99043740963475,1319.1866237922984
208,83087.0,21.0,1350.4597858435968,2422.5215308063566
209,83088.0,21.0,471.2412906292991,978.5357051685293
210,83089.0,21.0,663.5558142115707,1587.4250043142445
211,83090.0,21.0,1307.1943330230383,2647.042285996632
212,83081.0,22.0,1184.9587162145585,1721.0850614585945
213,83082.0,22.0,119.55954187984476,3031.1229131622367
214,83083.0,22.0,1020.8809746250631,1934.0840376475314
215,83084.0,22.0,1291.0259071489634,2337.071473103764
216,83085.0,22.0,240.0908582463378,1367.6807067808065
217,83086.0,22.0,130.99043740963475,1024.1866237922984
218,83087.0,22.0,1410.9386782115798,1644.5215308063569
219,83088.0,22.0,479.97829499604416,1055.5357051685291
220,83089.0,22.0,724.0347065795537,1178.4250043142445
221,83090.0,22.0,1315.931337389783,2527.042285996632
222,83081.0,23.0,1230.2488155928027,2487.0850614585947
223,83082.0,23.0,119.55954187984476,4092.1229131622367
224,83083.0,23.0,1041.8449106991688,1913.0840376475314
225,83084.0,23.0,1322.514459554059,2545.071473103764
226,83085.0,23.0,240.0908582463378,1580.6807067808065
227,83086.0,23.0,130.99043740963475,1237.1866237922984
228,83087.0,23.0,1456.228777589824,2302.5215308063566
229,83088.0,23.0,478.8545787345254,1198.5357051685291
230,83089.0,23.0,769.3248059577978,1704.4250043142445
231,83090.0,23.0,1314.8076211282637,2642.042285996632
232,83081.0,24.0,1228.6011958391966,2367.0850614585947
233,83082.0,24.0,119.55954187984476,3972.1229131622367
234,83083.0,24.0,1058.5126879337774,1754.0840376475314
235,83084.0,24.0,1334.6683867736015,2457.071473103764
236,83085.0,24.0,240.0908582463378,1543.6807067808065
237,83086.0,24.0,130.99043740963475,1771.1866237922984
238,83087.0,24.0,1454.581157836218,2182.5215308063566
239,83088.0,24.0,495.5223559691342,762.5357051685293
240,83089.0,24.0,767.6771862041915,1584.4250043142445
241,83090.0,24.0,1331.475398362873,2347.042285996632
242,83081.0,25.0,1239.194032948614,2307.0850614585947
243,83082.0,25.0,119.55954187984476,3912.1229131622367
244,83083.0,25.0,880.555762644503,1853.0840376475314
245,83084.0,25.0,1348.3856909496283,2845.071473103764
246,83085.0,25.0,240.0908582463378,1937.6807067808065
247,83086.0,25.0,130.99043740963475,1958.1866237922984
248,83087.0,25.0,1465.1739949456353,2182.5215308063566
249,83088.0,25.0,475.09985416399536,1237.5357051685291
250,83089.0,25.0,774.7019124208357,1524.4250043142445
251,83090.0,25.0,1311.0528965577337,2601.042285996632
252,83081.0,26.0,1246.9649546649791,2487.0850614585947
253,83082.0,26.0,119.55954187984476,3495.1229131622367
254,83083.0,26.0,908.3403555526347,1853.0840376475314
255,83084.0,26.0,1353.032145599384,2753.071473103764
256,83085.0,26.0,240.0908582463378,2396.6807067808063
257,83086.0,26.0,130.99043740963475,1958.1866237922984
258,83087.0,26.0,1472.9449166620004,2406.5215308063566
259,83088.0,26.0,460.4113733046395,1237.5357051685291
260,83089.0,26.0,786.0409450299735,2150.4250043142442
261,83090.0,26.0,1296.364415698378,3005.042285996632
262,83081.0,27.0,1228.192878490551,2273.0850614585947
263,83082.0,27.0,119.55954187984476,3046.1229131622367
264,83083.0,27.0,1058.1043705851318,1608.0840376475314
265,83084.0,27.0,1334.2600694249559,2959.071473103764
266,83085.0,27.0,240.0908582463378,1715.6807067808065
267,83086.0,27.0,130.99043740963475,2389.1866237922986
268,83087.0,27.0,1454.1728404875723,1752.5215308063569
269,83088.0,27.0,495.1140386204886,1198.5357051685291
270,83089.0,27.0,767.2688688555459,1587.4250043142445
271,83090.0,27.0,1331.0670810142274,2141.042285996632
272,83081.0,28.0,1227.2711840615336,2487.0850614585947
273,83082.0,28.0,119.55954187984476,3189.1229131622367
274,83083.0,28.0,1057.1826761561142,1913.0840376475314
275,83084.0,28.0,1333.3383749959385,2545.071473103764
276,83085.0,28.0,240.0908582463378,1580.6807067808065
277,83086.0,28.0,130.99043740963475,1237.1866237922984
278,83087.0,28.0,1453.251146058555,2302.5215308063566
279,83088.0,28.0,494.1923441914711,1198.5357051685291
280,83089.0,28.0,766.3471744265282,1377.4250043142445
281,83090.0,28.0,1330.14538658521,3005.042285996632
282,83081.0,29.0,1104.7397257875484,2089.0850614585947
283,83082.0,29.0,119.55954187984476,3218.1229131622367
284,83083.0,29.0,1014.1592501282182,1565.0840376475314
285,83084.0,29.0,1400.118471482973,2969.071473103764
286,83085.0,29.0,240.0908582463378,1696.6807067808065
287,83086.0,29.0,130.99043740963475,1722.1866237922984
288,83087.0,29.0,1330.71968778457,2362.5215308063566
289,83088.0,29.0,590.9211182910684,1158.5357051685291
290,83089.0,29.0,643.8157161525436,1119.4250043142445
291,83090.0,29.0,1426.8741606848073,2553.042285996632
292,83081.0,30.0,1085.7277552993612,1959.0850614585945
293,83082.0,30.0,119.55954187984476,3544.1229131622367
294,83083.0,30.0,1012.634751191967,1913.0840376475314
295,83084.0,30.0,1381.3544532880896,3089.071473103764
296,83085.0,30.0,240.0908582463378,1605.6807067808065
297,83086.0,30.0,130.99043740963475,1439.1866237922984
298,83087.0,30.0,1311.707717296383,2302.5215308063566
299,83088.0,30.0,589.3966193548173,1098.5357051685291
300,83089.0,30.0,624.8037456643565,1320.4250043142445
301,83090.0,30.0,1425.3496617485562,2767.042285996632
